date,year,month,day,day_of_week,is_weekend,is_public_holiday,holiday_name,is_ramadan,school_status,is_dsf,rain_event,rain_severity,dust_severity
2023-01-01,2023,1,1,Sunday,1,1,New Year's Day,0,Winter Break,1,,0,0
2023-01-02,2023,1,2,Monday,0,0,,0,Winter Break,1,,0,0
2023-01-03,2023,1,3,Tuesday,0,0,,0,In Session,1,,0,0
2023-01-04,2023,1,4,Wednesday,0,0,,0,In Session,1,,0,0
2023-01-05,2023,1,5,Thursday,0,0,,0,In Session,1,,0,0
2023-01-06,2023,1,6,Friday,0,0,,0,In Session,1,,0,0
2023-01-07,2023,1,7,Saturday,1,0,,0,In Session,1,,0,0
2023-01-08,2023,1,8,Sunday,1,0,,0,In Session,1,,0,0
2023-01-09,2023,1,9,Monday,0,0,,0,In Session,1,,0,0
2023-01-10,2023,1,10,Tuesday,0,0,,0,In Session,1,,0,0
2023-01-11,2023,1,11,Wednesday,0,0,,0,In Session,1,,0,0
2023-01-12,2023,1,12,Thursday,0,0,,0,In Session,1,,0,0
2023-01-13,2023,1,13,Friday,0,0,,0,In Session,1,,0,0
2023-01-14,2023,1,14,Saturday,1,0,,0,In Session,1,,0,0
2023-01-15,2023,1,15,Sunday,1,0,,0,In Session,1,Winter rain,2,0
2023-01-16,2023,1,16,Monday,0,0,,0,In Session,1,,0,0
2023-01-17,2023,1,17,Tuesday,0,0,,0,In Session,1,,0,0
2023-01-18,2023,1,18,Wednesday,0,0,,0,In Session,1,,0,0
2023-01-19,2023,1,19,Thursday,0,0,,0,In Session,1,,0,0
2023-01-20,2023,1,20,Friday,0,0,,0,In Session,1,,0,0
2023-01-21,2023,1,21,Saturday,1,0,,0,In Session,1,,0,0
2023-01-22,2023,1,22,Sunday,1,0,,0,In Session,1,,0,0
2023-01-23,2023,1,23,Monday,0,0,,0,In Session,1,,0,0
2023-01-24,2023,1,24,Tuesday,0,0,,0,In Session,1,,0,0
2023-01-25,2023,1,25,Wednesday,0,0,,0,In Session,1,,0,0
2023-01-26,2023,1,26,Thursday,0,0,,0,In Session,1,,0,0
2023-01-27,2023,1,27,Friday,0,0,,0,In Session,1,,0,0
2023-01-28,2023,1,28,Saturday,1,0,,0,In Session,1,,0,0
2023-01-29,2023,1,29,Sunday,1,0,,0,In Session,1,,0,0
2023-01-30,2023,1,30,Monday,0,0,,0,In Session,1,,0,0
2023-01-31,2023,1,31,Tuesday,0,0,,0,In Session,1,,0,0
2023-02-01,2023,2,1,Wednesday,0,0,,0,In Session,1,,0,0
2023-02-02,2023,2,2,Thursday,0,0,,0,In Session,1,,0,0
2023-02-03,2023,2,3,Friday,0,0,,0,In Session,1,,0,0
2023-02-04,2023,2,4,Saturday,1,0,,0,In Session,1,,0,0
2023-02-05,2023,2,5,Sunday,1,0,,0,In Session,1,,0,0
2023-02-06,2023,2,6,Monday,0,0,,0,In Session,0,,0,0
2023-02-07,2023,2,7,Tuesday,0,0,,0,In Session,0,,0,0
2023-02-08,2023,2,8,Wednesday,0,0,,0,In Session,0,,0,0
2023-02-09,2023,2,9,Thursday,0,0,,0,In Session,0,,0,0
2023-02-10,2023,2,10,Friday,0,0,,0,In Session,0,,0,0
2023-02-11,2023,2,11,Saturday,1,0,,0,In Session,0,,0,0
2023-02-12,2023,2,12,Sunday,1,0,,0,In Session,0,,0,0
2023-02-13,2023,2,13,Monday,0,0,,0,In Session,0,,0,0
2023-02-14,2023,2,14,Tuesday,0,0,,0,In Session,0,,0,0
2023-02-15,2023,2,15,Wednesday,0,0,,0,In Session,0,,0,0
2023-02-16,2023,2,16,Thursday,0,0,,0,In Session,0,,0,0
2023-02-17,2023,2,17,Friday,0,0,,0,In Session,0,,0,0
2023-02-18,2023,2,18,Saturday,1,0,,0,In Session,0,,0,0
2023-02-19,2023,2,19,Sunday,1,0,,0,In Session,0,,0,0
2023-02-20,2023,2,20,Monday,0,0,,0,In Session,0,,0,0
2023-02-21,2023,2,21,Tuesday,0,0,,0,In Session,0,,0,0
2023-02-22,2023,2,22,Wednesday,0,0,,0,In Session,0,,0,0
2023-02-23,2023,2,23,Thursday,0,0,,0,In Session,0,,0,0
2023-02-24,2023,2,24,Friday,0,0,,0,In Session,0,,0,0
2023-02-25,2023,2,25,Saturday,1,0,,0,In Session,0,,0,0
2023-02-26,2023,2,26,Sunday,1,0,,0,In Session,0,Winter rain,2,0
2023-02-27,2023,2,27,Monday,0,0,,0,In Session,0,,0,0
2023-02-28,2023,2,28,Tuesday,0,0,,0,In Session,0,,0,0
2023-03-01,2023,3,1,Wednesday,0,0,,0,In Session,0,,0,0
