incident_id,datetime_reported,datetime_cleared,duration_min,location_id,road_code,road_name,area,direction,latitude,longitude,incident_type,severity,lanes_blocked,total_lanes,response_time_min,weather_condition,precip_mm,is_peak_hour,source
INC1562,2023-01-01 19:00:00,2023-01-01 19:48:00,48,MAK_N1,D75,Al Maktoum Bridge,Bur Dubai,NB (to Deira),25.24235,55.31457,Minor Accident,Medium,2,4,12,Clear,0.0,1,CCTV Detection
INC1357,2023-01-02 06:00:00,2023-01-02 06:26:00,26,EMR_E1,E611,Emirates Road,Al Awir,Both (sample EB),25.1683,55.44154,Minor Accident,Medium,1,5,16,Fog,0.0,0,RTA Control Room
INC1089,2023-01-03 07:00:00,2023-01-03 07:35:00,35,SZR_N2,E11,Sheikh Zayed Road,DIFC,NB (to Deira),25.21166,55.28043,Debris on Road,Low,1,6,8,Sunny,0.0,1,RTA Control Room
INC1604,2023-01-03 11:00:00,2023-01-03 11:39:00,39,BBC_S1,E11,Business Bay Crossing,Business Bay,SB (to Bur Dubai),25.19256,55.28922,Minor Accident,Medium,1,5,5,Partly Cloudy,0.0,0,Police Report
INC1523,2023-01-03 16:00:00,2023-01-03 16:20:00,20,GAR_N1,D75,Al Garhoud Bridge,Garhoud,NB (to Deira),25.2321,55.32907,Minor Accident,Medium,1,5,6,Sunny,0.0,1,RTA Control Room
INC1173,2023-01-03 18:00:00,2023-01-03 18:30:00,30,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11871,55.20225,Stalled Vehicle,Low,1,7,6,Partly Cloudy,0.0,1,Public Report (app)
INC1524,2023-01-04 17:00:00,2023-01-04 17:30:00,30,GAR_N1,D75,Al Garhoud Bridge,Garhoud,NB (to Deira),25.23266,55.3314,Vehicle Breakdown,Low,1,5,6,Sunny,0.0,1,RTA Control Room
INC1484,2023-01-05 16:00:00,2023-01-05 17:28:00,88,AIR_W1,D89,Airport Road,Al Garhoud,WB (to city),25.24774,55.3545,Major Accident,High,2,4,7,Sunny,0.0,1,CCTV Detection
INC1138,2023-01-06 13:00:00,2023-01-06 14:16:00,76,SZR_S2,E11,Sheikh Zayed Road,DIFC,SB (to Abu Dhabi),25.20977,55.27768,Major Accident,High,3,6,8,Sunny,0.0,0,Police Report
INC1427,2023-01-06 18:00:00,2023-01-06 18:35:00,35,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.2664,55.33977,Minor Accident,Medium,2,5,3,Partly Cloudy,0.0,1,Police Report
INC1174,2023-01-06 22:00:00,2023-01-06 22:12:00,12,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11936,55.20114,Stalled Vehicle,Low,1,7,9,Clear,0.0,0,Public Report (app)
INC1139,2023-01-07 12:00:00,2023-01-07 12:56:00,56,SZR_S2,E11,Sheikh Zayed Road,DIFC,SB (to Abu Dhabi),25.21011,55.27875,Vehicle Breakdown,Low,1,6,11,Sunny,0.0,0,CCTV Detection
INC1288,2023-01-07 16:00:00,2023-01-07 16:13:00,13,EKR_S1,E44,Al Khail Road,Al Quoz,SB (to Jebel Ali),25.14921,55.23609,Vehicle Breakdown,Low,1,5,7,Sunny,0.0,1,RTA Control Room
INC1658,2023-01-07 16:00:00,2023-01-07 16:23:00,23,JBR_X1,D94,Jumeirah Beach Road,Jumeirah,Both (sample),25.20632,55.24488,Debris on Road,Low,1,3,15,Sunny,0.0,1,Police Report
INC1175,2023-01-07 21:00:00,2023-01-07 21:46:00,46,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11562,55.20189,Minor Accident,Medium,2,7,10,Clear,0.0,0,Public Report (app)
INC1176,2023-01-08 22:00:00,2023-01-08 22:39:00,39,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11943,55.2014,Stalled Vehicle,Low,1,7,8,Clear,0.0,0,RTA Control Room
INC1428,2023-01-10 08:00:00,2023-01-10 08:16:00,16,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.26966,55.33769,Vehicle Breakdown,Low,1,5,13,Partly Cloudy,0.0,1,RTA Control Room
INC1178,2023-01-11 04:00:00,2023-01-11 04:41:00,41,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.12092,55.19882,Vehicle Breakdown,Low,1,7,3,Clear,0.0,0,CCTV Detection
INC1177,2023-01-11 04:00:00,2023-01-11 04:50:00,50,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.1181,55.20177,Vehicle Breakdown,Low,1,7,11,Clear,0.0,0,RTA Control Room
INC1659,2023-01-11 07:00:00,2023-01-11 08:12:00,72,JBR_X1,D94,Jumeirah Beach Road,Jumeirah,Both (sample),25.2069,55.24766,Major Accident,High,3,3,9,Sunny,0.0,1,RTA Control Room
INC1090,2023-01-11 16:00:00,2023-01-11 16:36:00,36,SZR_N2,E11,Sheikh Zayed Road,DIFC,NB (to Deira),25.21293,55.27724,Vehicle Breakdown,Low,1,6,8,Sunny,0.0,1,Police Report
INC1037,2023-01-11 17:00:00,2023-01-11 17:34:00,34,SZR_S1,E11,Sheikh Zayed Road,Trade Centre,SB (to Abu Dhabi),25.22461,55.28077,Stalled Vehicle,Low,1,6,9,Sunny,0.0,1,Public Report (app)
INC1001,2023-01-12 01:00:00,2023-01-12 06:11:00,311,SZR_N1,E11,Sheikh Zayed Road,Trade Centre,NB (to Deira),25.22284,55.28416,Road Closure (Planned),Medium,2,6,5,Clear,0.0,0,Public Report (app)
INC1091,2023-01-12 02:00:00,2023-01-12 02:24:00,24,SZR_N2,E11,Sheikh Zayed Road,DIFC,NB (to Deira),25.20847,55.2795,Minor Accident,Medium,2,6,3,Clear,0.0,0,RTA Control Room
INC1289,2023-01-12 09:00:00,2023-01-12 09:37:00,37,EKR_S1,E44,Al Khail Road,Al Quoz,SB (to Jebel Ali),25.14296,55.23368,Minor Accident,Medium,1,5,3,Sunny,0.0,1,RTA Control Room
INC1358,2023-01-12 16:00:00,2023-01-12 16:27:00,27,EMR_E1,E611,Emirates Road,Al Awir,Both (sample EB),25.17289,55.43928,Vehicle Breakdown,Low,1,5,7,Partly Cloudy,0.0,1,Public Report (app)
INC1692,2023-01-13 15:00:00,2023-01-13 15:23:00,23,DWC_X1,E77,Expo Road,Dubai South,Both (sample),24.89463,55.15898,Vehicle Breakdown,Low,1,4,10,Sunny,0.0,0,RTA Control Room
INC1222,2023-01-14 13:00:00,2023-01-14 13:51:00,51,SZR_S4,E11,Sheikh Zayed Road,Al Barsha,SB (to Abu Dhabi),25.11649,55.20056,Minor Accident,Medium,1,7,10,Sunny,0.0,0,RTA Control Room
INC1179,2023-01-15 08:00:00,2023-01-15 08:48:00,48,SZR_N4,E11,Sheikh Zayed Road,Al Barsha,NB (to Deira),25.11849,55.19949,Vehicle Breakdown,Low,1,7,13,Light Rain,0.4,1,RTA Control Room
INC1002,2023-01-15 09:00:00,2023-01-15 09:07:00,7,SZR_N1,E11,Sheikh Zayed Road,Trade Centre,NB (to Deira),25.22372,55.27991,Vehicle Breakdown,Low,1,6,8,Light Rain,1.5,1,RTA Control Room
INC1336,2023-01-15 16:00:00,2023-01-15 16:31:00,31,MBZ_E1,E311,Mohammed Bin Zayed Road,DIP,Both (sample EB),24.9911,55.17086,Vehicle Breakdown,Low,1,6,11,Sunny,0.0,1,RTA Control Room
INC1429,2023-01-15 16:00:00,2023-01-15 16:39:00,39,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.26795,55.33678,Vehicle Breakdown,Low,1,5,8,Sunny,0.0,1,CCTV Detection
INC1140,2023-01-15 18:00:00,2023-01-15 18:13:00,13,SZR_S2,E11,Sheikh Zayed Road,DIFC,SB (to Abu Dhabi),25.20976,55.28129,Vehicle Breakdown,Low,1,6,12,Sunny,0.0,1,CCTV Detection
INC1223,2023-01-16 16:00:00,2023-01-16 16:39:00,39,SZR_S4,E11,Sheikh Zayed Road,Al Barsha,SB (to Abu Dhabi),25.11661,55.1998,Stalled Vehicle,Low,1,7,9,Partly Cloudy,0.0,1,RTA Control Room
INC1430,2023-01-16 17:00:00,2023-01-16 17:11:00,11,ITT_E1,D89,Al Ittihad Road,Al Qiyadah,EB (to Sharjah),25.27132,55.33416,Stalled Vehicle,Low,1,5,12,Sunny,0.0,1,RTA Control Room
