datetime,date,hour,gate_id,gate_name,latitude,longitude,crossings,toll_rate_aed,revenue_aed
2024-01-01 00:00:00,2024-01-01,0,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,229,4,916
2024-01-01 01:00:00,2024-01-01,1,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,165,4,660
2024-01-01 02:00:00,2024-01-01,2,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,115,4,460
2024-01-01 03:00:00,2024-01-01,3,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,120,4,480
2024-01-01 04:00:00,2024-01-01,4,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,184,4,736
2024-01-01 05:00:00,2024-01-01,5,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,438,4,1752
2024-01-01 06:00:00,2024-01-01,6,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,1593,4,6372
2024-01-01 07:00:00,2024-01-01,7,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,3168,4,12672
2024-01-01 08:00:00,2024-01-01,8,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,3880,4,15520
2024-01-01 09:00:00,2024-01-01,9,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,3055,4,12220
2024-01-01 10:00:00,2024-01-01,10,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,1625,4,6500
2024-01-01 11:00:00,2024-01-01,11,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,1765,4,7060
2024-01-01 12:00:00,2024-01-01,12,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,1978,4,7912
2024-01-01 13:00:00,2024-01-01,13,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,1962,4,7848
2024-01-01 14:00:00,2024-01-01,14,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,1829,4,7316
2024-01-01 15:00:00,2024-01-01,15,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,1856,4,7424
2024-01-01 16:00:00,2024-01-01,16,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,2076,4,8304
2024-01-01 17:00:00,2024-01-01,17,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,2330,4,9320
2024-01-01 18:00:00,2024-01-01,18,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,2597,4,10388
2024-01-01 19:00:00,2024-01-01,19,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,2202,4,8808
2024-01-01 20:00:00,2024-01-01,20,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,2034,4,8136
2024-01-01 21:00:00,2024-01-01,21,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,1423,4,5692
2024-01-01 22:00:00,2024-01-01,22,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,979,4,3916
2024-01-01 23:00:00,2024-01-01,23,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,511,4,2044
2024-01-02 00:00:00,2024-01-02,0,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,484,4,1936
2024-01-02 01:00:00,2024-01-02,1,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,347,4,1388
2024-01-02 02:00:00,2024-01-02,2,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,243,4,972
2024-01-02 03:00:00,2024-01-02,3,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,228,4,912
2024-01-02 04:00:00,2024-01-02,4,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,415,4,1660
2024-01-02 05:00:00,2024-01-02,5,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,1008,4,4032
2024-01-02 06:00:00,2024-01-02,6,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,3083,4,12332
2024-01-02 07:00:00,2024-01-02,7,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,6788,4,27152
2024-01-02 08:00:00,2024-01-02,8,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,7876,4,31504
2024-01-02 09:00:00,2024-01-02,9,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,6196,4,24784
2024-01-02 10:00:00,2024-01-02,10,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,3739,4,14956
2024-01-02 11:00:00,2024-01-02,11,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,3526,4,14104
2024-01-02 12:00:00,2024-01-02,12,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,4267,4,17068
2024-01-02 13:00:00,2024-01-02,13,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,3891,4,15564
2024-01-02 14:00:00,2024-01-02,14,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,3954,4,15816
2024-01-02 15:00:00,2024-01-02,15,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,3922,4,15688
2024-01-02 16:00:00,2024-01-02,16,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,4540,4,18160
2024-01-02 17:00:00,2024-01-02,17,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,4759,4,19036
2024-01-02 18:00:00,2024-01-02,18,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,5301,4,21204
2024-01-02 19:00:00,2024-01-02,19,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,4617,4,18468
2024-01-02 20:00:00,2024-01-02,20,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,4255,4,17020
2024-01-02 21:00:00,2024-01-02,21,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,2850,4,11400
2024-01-02 22:00:00,2024-01-02,22,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,1861,4,7444
2024-01-02 23:00:00,2024-01-02,23,SLK_GARHOUD,Al Garhoud Bridge,25.233,55.33,1218,4,4872
