datetime,date,hour,junction_id,control_type,active_program,cycle_length_s,approach_demand_vph,degree_of_saturation,avg_delay_s_per_veh,avg_queue_veh,throughput_vph,phase_failures,pedestrian_calls,adaptive_active
2023-01-01 00:00:00,2023-01-01,0,JCT_DEF,SCOOT-adaptive,Early Morning,70,94,0.052,10.9,0,94,0,10,1
2023-01-01 01:00:00,2023-01-01,1,JCT_DEF,SCOOT-adaptive,Early Morning,70,83,0.046,11.0,0,83,0,16,1
2023-01-01 02:00:00,2023-01-01,2,JCT_DEF,SCOOT-adaptive,Early Morning,70,59,0.033,11.3,0,59,0,14,1
2023-01-01 03:00:00,2023-01-01,3,JCT_DEF,SCOOT-adaptive,Early Morning,70,37,0.021,10.4,0,37,0,15,1
2023-01-01 04:00:00,2023-01-01,4,JCT_DEF,SCOOT-adaptive,Early Morning,70,30,0.017,10.7,0,30,0,5,1
2023-01-01 05:00:00,2023-01-01,5,JCT_DEF,SCOOT-adaptive,Early Morning,70,39,0.022,10.5,0,39,0,0,1
2023-01-01 06:00:00,2023-01-01,6,JCT_DEF,SCOOT-adaptive,AM Peak,140,59,0.03,17.0,0,59,0,9,1
2023-01-01 07:00:00,2023-01-01,7,JCT_DEF,SCOOT-adaptive,AM Peak,140,101,0.05,18.8,0,101,0,10,1
2023-01-01 08:00:00,2023-01-01,8,JCT_DEF,SCOOT-adaptive,AM Peak,140,172,0.086,20.5,0,172,0,12,1
2023-01-01 09:00:00,2023-01-01,9,JCT_DEF,SCOOT-adaptive,AM Peak,140,268,0.134,17.7,0,268,0,8,1
2023-01-01 10:00:00,2023-01-01,10,JCT_DEF,SCOOT-adaptive,Midday,100,374,0.208,16.9,0,374,0,11,1
2023-01-01 11:00:00,2023-01-01,11,JCT_DEF,SCOOT-adaptive,Midday,100,391,0.217,17.2,1,391,0,8,1
2023-01-01 12:00:00,2023-01-01,12,JCT_DEF,SCOOT-adaptive,Midday,100,500,0.278,16.3,1,500,0,26,1
2023-01-01 13:00:00,2023-01-01,13,JCT_DEF,SCOOT-adaptive,Midday,100,489,0.272,16.4,1,489,0,4,1
2023-01-01 14:00:00,2023-01-01,14,JCT_DEF,SCOOT-adaptive,Midday,100,468,0.26,14.5,1,468,0,9,1
2023-01-01 15:00:00,2023-01-01,15,JCT_DEF,SCOOT-adaptive,Midday,100,468,0.26,15.5,1,468,0,15,1
2023-01-01 16:00:00,2023-01-01,16,JCT_DEF,SCOOT-adaptive,PM Peak,150,463,0.232,22.8,1,463,0,0,1
2023-01-01 17:00:00,2023-01-01,17,JCT_DEF,SCOOT-adaptive,PM Peak,150,578,0.289,21.9,1,578,0,21,1
2023-01-01 18:00:00,2023-01-01,18,JCT_DEF,SCOOT-adaptive,PM Peak,150,595,0.298,20.8,1,595,0,22,1
2023-01-01 19:00:00,2023-01-01,19,JCT_DEF,SCOOT-adaptive,PM Peak,150,654,0.327,22.3,1,654,0,25,1
2023-01-01 20:00:00,2023-01-01,20,JCT_DEF,SCOOT-adaptive,Evening,90,602,0.335,14.6,1,602,0,11,1
2023-01-01 21:00:00,2023-01-01,21,JCT_DEF,SCOOT-adaptive,Evening,90,590,0.328,16.5,1,590,0,8,1
2023-01-01 22:00:00,2023-01-01,22,JCT_DEF,SCOOT-adaptive,Evening,90,381,0.211,15.4,0,381,0,11,1
2023-01-01 23:00:00,2023-01-01,23,JCT_DEF,SCOOT-adaptive,Evening,90,218,0.121,14.4,0,218,0,6,1
2023-01-02 00:00:00,2023-01-02,0,JCT_DEF,SCOOT-adaptive,Early Morning,70,86,0.048,11.0,0,86,0,4,1
2023-01-02 01:00:00,2023-01-02,1,JCT_DEF,SCOOT-adaptive,Early Morning,70,66,0.037,10.9,0,66,0,5,1
2023-01-02 02:00:00,2023-01-02,2,JCT_DEF,SCOOT-adaptive,Early Morning,70,53,0.029,10.3,0,53,0,8,1
2023-01-02 03:00:00,2023-01-02,3,JCT_DEF,SCOOT-adaptive,Early Morning,70,48,0.026,13.5,0,48,0,10,1
2023-01-02 04:00:00,2023-01-02,4,JCT_DEF,SCOOT-adaptive,Early Morning,70,77,0.043,14.0,0,77,0,10,1
2023-01-02 05:00:00,2023-01-02,5,JCT_DEF,SCOOT-adaptive,Early Morning,70,216,0.12,17.1,0,216,0,4,1
2023-01-02 06:00:00,2023-01-02,6,JCT_DEF,SCOOT-adaptive,AM Peak,140,697,0.348,33.0,1,697,0,0,1
2023-01-02 07:00:00,2023-01-02,7,JCT_DEF,SCOOT-adaptive,AM Peak,140,1435,0.718,39.3,2,1435,0,2,1
2023-01-02 08:00:00,2023-01-02,8,JCT_DEF,SCOOT-adaptive,AM Peak,140,1717,0.858,55.2,3,1717,0,5,1
2023-01-02 09:00:00,2023-01-02,9,JCT_DEF,SCOOT-adaptive,AM Peak,140,1128,0.564,25.3,2,1128,0,3,1
2023-01-02 10:00:00,2023-01-02,10,JCT_DEF,SCOOT-adaptive,Midday,100,678,0.377,17.4,1,678,0,5,1
2023-01-02 11:00:00,2023-01-02,11,JCT_DEF,SCOOT-adaptive,Midday,100,647,0.36,17.9,1,647,0,12,1
2023-01-02 12:00:00,2023-01-02,12,JCT_DEF,SCOOT-adaptive,Midday,100,892,0.496,19.8,1,892,0,17,1
2023-01-02 13:00:00,2023-01-02,13,JCT_DEF,SCOOT-adaptive,Midday,100,802,0.445,19.4,1,802,0,22,1
2023-01-02 14:00:00,2023-01-02,14,JCT_DEF,SCOOT-adaptive,Midday,100,842,0.468,20.2,1,842,0,2,1
2023-01-02 15:00:00,2023-01-02,15,JCT_DEF,SCOOT-adaptive,Midday,100,716,0.398,19.2,1,716,0,17,1
2023-01-02 16:00:00,2023-01-02,16,JCT_DEF,SCOOT-adaptive,PM Peak,150,965,0.482,23.5,2,965,0,10,1
2023-01-02 17:00:00,2023-01-02,17,JCT_DEF,SCOOT-adaptive,PM Peak,150,913,0.457,23.8,2,913,0,24,1
2023-01-02 18:00:00,2023-01-02,18,JCT_DEF,SCOOT-adaptive,PM Peak,150,1061,0.53,27.3,2,1061,0,16,1
2023-01-02 19:00:00,2023-01-02,19,JCT_DEF,SCOOT-adaptive,PM Peak,150,1003,0.501,26.0,2,1003,0,29,1
2023-01-02 20:00:00,2023-01-02,20,JCT_DEF,SCOOT-adaptive,Evening,90,840,0.467,17.3,1,840,0,7,1
2023-01-02 21:00:00,2023-01-02,21,JCT_DEF,SCOOT-adaptive,Evening,90,669,0.372,15.9,1,669,0,11,1
2023-01-02 22:00:00,2023-01-02,22,JCT_DEF,SCOOT-adaptive,Evening,90,436,0.242,14.6,1,436,0,6,1
2023-01-02 23:00:00,2023-01-02,23,JCT_DEF,SCOOT-adaptive,Evening,90,243,0.135,14.7,0,243,0,9,1
2023-01-03 00:00:00,2023-01-03,0,JCT_DEF,SCOOT-adaptive,Early Morning,70,103,0.057,10.2,0,103,0,17,1
2023-01-03 01:00:00,2023-01-03,1,JCT_DEF,SCOOT-adaptive,Early Morning,70,71,0.04,11.1,0,71,0,11,1
2023-01-03 02:00:00,2023-01-03,2,JCT_DEF,SCOOT-adaptive,Early Morning,70,59,0.033,11.2,0,59,0,11,1
2023-01-03 03:00:00,2023-01-03,3,JCT_DEF,SCOOT-adaptive,Early Morning,70,52,0.029,11.2,0,52,0,11,1
2023-01-03 04:00:00,2023-01-03,4,JCT_DEF,SCOOT-adaptive,Early Morning,70,91,0.05,11.2,0,91,0,9,1
2023-01-03 05:00:00,2023-01-03,5,JCT_DEF,SCOOT-adaptive,Early Morning,70,214,0.119,12.0,0,214,0,5,1
2023-01-03 06:00:00,2023-01-03,6,JCT_DEF,SCOOT-adaptive,AM Peak,140,702,0.351,18.4,1,702,0,10,1
2023-01-03 07:00:00,2023-01-03,7,JCT_DEF,SCOOT-adaptive,AM Peak,140,1495,0.747,33.9,2,1495,0,4,1
2023-01-03 08:00:00,2023-01-03,8,JCT_DEF,SCOOT-adaptive,AM Peak,140,1709,0.855,41.4,3,1709,0,11,1
2023-01-03 09:00:00,2023-01-03,9,JCT_DEF,SCOOT-adaptive,AM Peak,140,1352,0.676,31.3,2,1352,0,2,1
