datetime,date,hour,location_id,road_code,direction,volume_vph,demand_vph,avg_speed_kph,free_flow_speed_kph,vc_ratio,occupancy_pct,travel_time_index,level_of_service,incident_affected
2024-01-01 00:00:00,2024-01-01,0,SZR_N1,E11,NB (to Deira),439,439,102.9,105,0.037,1.2,1.02,A,0
2024-01-01 01:00:00,2024-01-01,1,SZR_N1,E11,NB (to Deira),327,327,102.0,105,0.027,0.8,1.03,A,0
2024-01-01 02:00:00,2024-01-01,2,SZR_N1,E11,NB (to Deira),195,195,75.2,105,0.016,1.8,1.4,A,0
2024-01-01 03:00:00,2024-01-01,3,SZR_N1,E11,NB (to Deira),190,190,77.1,105,0.016,0.8,1.36,A,0
2024-01-01 04:00:00,2024-01-01,4,SZR_N1,E11,NB (to Deira),328,328,75.4,105,0.027,4.5,1.39,A,0
2024-01-01 05:00:00,2024-01-01,5,SZR_N1,E11,NB (to Deira),811,811,71.5,105,0.068,0.3,1.47,A,0
2024-01-01 06:00:00,2024-01-01,6,SZR_N1,E11,NB (to Deira),2587,2587,71.4,105,0.216,16.1,1.47,A,0
2024-01-01 07:00:00,2024-01-01,7,SZR_N1,E11,NB (to Deira),5398,5398,77.1,105,0.45,36.5,1.36,B,0
2024-01-01 08:00:00,2024-01-01,8,SZR_N1,E11,NB (to Deira),6765,6765,69.8,105,0.564,41.2,1.5,C,0
2024-01-01 09:00:00,2024-01-01,9,SZR_N1,E11,NB (to Deira),5721,5721,98.1,105,0.477,37.0,1.07,B,0
2024-01-01 10:00:00,2024-01-01,10,SZR_N1,E11,NB (to Deira),3796,3796,101.2,105,0.316,24.1,1.04,A,0
2024-01-01 11:00:00,2024-01-01,11,SZR_N1,E11,NB (to Deira),3895,3895,105.0,105,0.325,27.9,1.0,A,0
2024-01-01 12:00:00,2024-01-01,12,SZR_N1,E11,NB (to Deira),4443,4443,101.7,105,0.37,26.6,1.03,B,0
2024-01-01 13:00:00,2024-01-01,13,SZR_N1,E11,NB (to Deira),4285,4285,99.6,105,0.357,27.3,1.05,B,0
2024-01-01 14:00:00,2024-01-01,14,SZR_N1,E11,NB (to Deira),3575,3575,105.0,105,0.298,22.8,1.0,A,0
2024-01-01 15:00:00,2024-01-01,15,SZR_N1,E11,NB (to Deira),4030,4030,96.1,105,0.336,23.7,1.09,A,0
2024-01-01 16:00:00,2024-01-01,16,SZR_N1,E11,NB (to Deira),4593,4593,103.5,105,0.383,28.2,1.01,B,0
2024-01-01 17:00:00,2024-01-01,17,SZR_N1,E11,NB (to Deira),5306,5306,105.0,105,0.442,32.3,1.0,B,0
2024-01-01 18:00:00,2024-01-01,18,SZR_N1,E11,NB (to Deira),5701,5701,98.4,105,0.475,40.1,1.07,B,0
2024-01-01 19:00:00,2024-01-01,19,SZR_N1,E11,NB (to Deira),4297,4297,104.7,105,0.358,24.2,1.0,B,0
2024-01-01 20:00:00,2024-01-01,20,SZR_N1,E11,NB (to Deira),3957,3957,101.2,105,0.33,25.8,1.04,A,0
2024-01-01 21:00:00,2024-01-01,21,SZR_N1,E11,NB (to Deira),3245,3245,100.4,105,0.27,22.4,1.05,A,0
2024-01-01 22:00:00,2024-01-01,22,SZR_N1,E11,NB (to Deira),2089,2089,99.7,105,0.174,14.5,1.05,A,0
2024-01-01 23:00:00,2024-01-01,23,SZR_N1,E11,NB (to Deira),1090,1090,105.0,105,0.091,10.3,1.0,A,0
2024-01-02 00:00:00,2024-01-02,0,SZR_N1,E11,NB (to Deira),979,979,103.8,105,0.082,9.0,1.01,A,0
2024-01-02 01:00:00,2024-01-02,1,SZR_N1,E11,NB (to Deira),591,591,105.0,105,0.049,3.5,1.0,A,0
2024-01-02 02:00:00,2024-01-02,2,SZR_N1,E11,NB (to Deira),488,488,103.3,105,0.041,6.5,1.02,A,0
2024-01-02 03:00:00,2024-01-02,3,SZR_N1,E11,NB (to Deira),478,478,100.6,105,0.04,6.5,1.04,A,0
2024-01-02 04:00:00,2024-01-02,4,SZR_N1,E11,NB (to Deira),794,794,104.9,105,0.066,3.9,1.0,A,0
2024-01-02 05:00:00,2024-01-02,5,SZR_N1,E11,NB (to Deira),1933,1933,105.0,105,0.161,10.5,1.0,A,0
2024-01-02 06:00:00,2024-01-02,6,SZR_N1,E11,NB (to Deira),6471,6471,96.8,105,0.539,43.1,1.08,B,0
2024-01-02 07:00:00,2024-01-02,7,SZR_N1,E11,NB (to Deira),12600,13944,61.0,105,1.05,85.2,1.72,F,0
2024-01-02 08:00:00,2024-01-02,8,SZR_N1,E11,NB (to Deira),12600,16169,58.0,105,1.05,82.1,1.81,F,0
2024-01-02 09:00:00,2024-01-02,9,SZR_N1,E11,NB (to Deira),11306,11306,70.4,105,0.942,71.2,1.49,E,0
2024-01-02 10:00:00,2024-01-02,10,SZR_N1,E11,NB (to Deira),6240,6240,105.0,105,0.52,39.1,1.0,B,0
2024-01-02 11:00:00,2024-01-02,11,SZR_N1,E11,NB (to Deira),7139,7139,99.7,105,0.595,48.9,1.05,C,0
2024-01-02 12:00:00,2024-01-02,12,SZR_N1,E11,NB (to Deira),8241,8241,96.3,105,0.687,53.1,1.09,C,0
2024-01-02 13:00:00,2024-01-02,13,SZR_N1,E11,NB (to Deira),7718,7718,96.6,105,0.643,53.7,1.09,C,0
2024-01-02 14:00:00,2024-01-02,14,SZR_N1,E11,NB (to Deira),7277,7277,94.6,105,0.606,45.1,1.11,C,0
2024-01-02 15:00:00,2024-01-02,15,SZR_N1,E11,NB (to Deira),7734,7734,96.0,105,0.645,52.6,1.09,C,0
2024-01-02 16:00:00,2024-01-02,16,SZR_N1,E11,NB (to Deira),8954,8954,87.1,105,0.746,60.0,1.21,C,0
