datetime,date,hour,temp_c,humidity_pct,wind_kph,visibility_km,precip_mm,condition
2024-01-01 00:00:00,2024-01-01,0,15.9,47,6.5,10.0,0.0,Clear
2024-01-01 01:00:00,2024-01-01,1,12.7,58,5.6,10.0,0.0,Clear
2024-01-01 02:00:00,2024-01-01,2,7.2,60,14.7,3.8,1.0,Heavy Rain
2024-01-01 03:00:00,2024-01-01,3,8.6,60,10.0,3.8,3.5,Heavy Rain
2024-01-01 04:00:00,2024-01-01,4,7.5,66,4.5,3.8,6.0,Heavy Rain
2024-01-01 05:00:00,2024-01-01,5,10.5,74,2.0,3.8,7.0,Heavy Rain
2024-01-01 06:00:00,2024-01-01,6,11.8,79,16.5,3.8,6.0,Heavy Rain
2024-01-01 07:00:00,2024-01-01,7,11.4,73,5.5,3.8,3.5,Heavy Rain
2024-01-01 08:00:00,2024-01-01,8,13.9,80,7.4,3.8,1.0,Heavy Rain
2024-01-01 09:00:00,2024-01-01,9,17.3,84,13.4,10.0,0.0,Sunny
2024-01-01 10:00:00,2024-01-01,10,20.5,87,13.6,10.0,0.0,Sunny
2024-01-01 11:00:00,2024-01-01,11,21.2,84,18.3,10.0,0.0,Partly Cloudy
2024-01-01 12:00:00,2024-01-01,12,24.8,76,21.9,10.0,0.0,Hazy
2024-01-01 13:00:00,2024-01-01,13,24.8,78,5.1,10.0,0.0,Sunny
2024-01-01 14:00:00,2024-01-01,14,27.2,68,16.6,10.0,0.0,Sunny
2024-01-01 15:00:00,2024-01-01,15,25.0,53,19.9,10.0,0.0,Hazy
2024-01-01 16:00:00,2024-01-01,16,27.9,66,19.3,10.0,0.0,Partly Cloudy
2024-01-01 17:00:00,2024-01-01,17,24.6,58,11.4,10.0,0.0,Sunny
2024-01-01 18:00:00,2024-01-01,18,23.0,53,22.6,10.0,0.0,Partly Cloudy
2024-01-01 19:00:00,2024-01-01,19,25.1,49,39.2,10.0,0.0,Clear
2024-01-01 20:00:00,2024-01-01,20,18.5,49,9.7,10.0,0.0,Clear
2024-01-01 21:00:00,2024-01-01,21,18.3,47,5.4,10.0,0.0,Clear
2024-01-01 22:00:00,2024-01-01,22,15.3,46,11.9,10.0,0.0,Clear
